code,number,other name,specimen requirements,specimen min value,SpecimenType,Temperature,Time,SpecialContainer,cpt code information
report;,each;,"88271x2- DNA probe, each; each additional probe set (if appropriate); 88271x1- DNA probe,"," Submit only 1 of the following specimens: Patient Preparation: Bone marrow transplants preclude accurate germline and genetic variant analysis. Please inform the laboratory if this patient has undergone bone marrow transplantation. On rare occasions transfusion of blood products can preclude accurate genetic variant analysis and results should be interpreted with caution if performed after recent transfusion (within 4 months). Specimen Type: Peripheral blood Container/Tube: Preferred: Lavender top (EDTA) Acceptable:Â Yellow top (ACD), green top (sodium heparin) Specimen Volume: 4 mL Collection Instructions: 1. Invert several times to mix blood. 2. Send specimen in the original tube. Stability Information: Ambient 14 days (preferred)/Refrigerate 30 days Specimen Type: Extracted DNA from whole blood Container/Tube: 1.5- to 2-mL tube Specimen Volume: Entire specimen Collection Instructions: 1. Label specimen as extracted DNA and source of specimen 2. Provide volume and concentration of the DNA Specimen Stability Information:Â Frozen (preferred)/Refrigerate/Ambient ", Blood: 1 mL Extracted DNA: 50 mcL at 50 ng/mcL concentration ,  ,  Refrigerated,  , 81479-Unlisted Molecular Pathology procedure
23BPT,606357,"2,3-Dinor 11 Beta-Prostaglandin F2 Alpha, 24 Hour, Urine"," Patient Preparation: Patients taking aspirin or nonsteroidal anti-inflammatory drugs (NSAID) may have decreased concentrations of prostaglandin F2 alpha. If possible, discontinue for 2 weeks or 72 hours, respectively, prior to collecting a specimen. Supplies: Plastic, 5-mL tube (T465) Specimen Volume: 5 mL Collection Instructions: 1. Collect urine for 24 hours. 2. No preservative preferred. Additional Information: See Urine Preservatives-Collection and Transportation for 24-Hour Urine Specimens in Special Instructions for multiple collections. ", 4 mL ,  Varies,  Varies,  ,  , 84150
23BPR,606356,"2,3-Dinor 11 Beta-Prostaglandin F2 Alpha, Random, Urine"," Patient Preparation: Patients taking aspirin or nonsteroidal anti-inflammatory drugs (NSAID) may have decreased concentrations of prostaglandin F2 alpha. If possible, discontinue for 2 weeks or 72 hours, respectively, prior to collecting a specimen. Supplies: Plastic, 5-mL tube (T465) Specimen Volume: 5 mL Collection Instructions: Collect a random urine specimen. ", 4 mL ,  Urine  ,  Refrigerated(preferred) Frozen Ambient,  14days 30days 8hours,    , 84150; 82570; 
2OHGP,608030,"2-Hydroxyglutaric Aciduria Gene Panel, Varies", Patient Preparation: A previous bone marrow transplant from an allogenic donor will interfere with testing. Call 800-533-1710 for instructions for testing patients who have received a bone marrow transplant. Specimen Type: Whole blood Container/Tube: Preferred: Lavender top (EDTA) or yellow top (ACD) Acceptable: Any anticoagulant Specimen Volume: 3 mL Collection Instructions: 1. Invert several times to mix blood. 2. Send specimen in original tube. Specimen Stability Information: Ambient (preferred)/Refrigerated , See Specimen Required ,  Urine  ,  Refrigerated(preferred) Frozen Ambient,  14days 30days 8hours,    , 81479
21DOC,89477,"21-Deoxycortisol, Serum", Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 0.5 mL Collection Instructions: Morning (8 a.m.) specimen is preferred. , 0.4 mL ,  Varies,  Varies,  ,  , 82542
21OH,607788,"21-Hydroxylase Antibodies, Serum", Collection Container/Tube: Preferred: Red top Acceptable: Serum gel Submission Container/Tube: Plastic vial Specimen Volume: 1 mL Collection Instructions: Centrifuge and aliquot serum into plastic vial to remove from cells or gel prior to shipping. , 0.20 mL ,  Serum,  Refrigerated(preferred),  21days,  , 83516
CYPZ,37445,"21-Hydroxylase Gene (CYP21A2), Full Gene Analysis, Varies", Specimen Type: Whole Blood Container/Tube: Preferred: Lavender top (EDTA) Specimen Volume: 3 mL Collection Instructions: 1. Invert several times to mix blood. 2. Send specimen in original tube. Prenatal Specimens Specimen Type: Amniotic fluid Container/Tube: Amniotic fluid container Specimen Volume: 20 mL Specimen Stability Information: Refrigerated (preferred)/Ambient Specimen Type: Chorionic villi Container/Tube: 15-mL tube containing 15 mL of transport media Specimen Volume: 20 mg Specimen Stability Information: Refrigerated Acceptable Specimen Type: Confluent cultured cells Container/Tube: T-25 flask Specimen Volume: 2 flasks Collection Instructions: Submit confluent cultured cells from another laboratory. Specimen Stability Information: Ambient (preferred)/Refrigerated , Amniotic Fluid: 10 mL Blood: 1 mL Chorionic Villi: 5 mg ,  ,  Ambient,  14days," 81405-CYP21A2 (cytochrome P450, family 21, subfamily A,"
polypeptide2),81402-CYP21A2,"(eg, steroid 21-hydroxylase isoform, congenital adrenal hyperplasia), full gene sequence ;"," Submit only 1 of the following specimens: Supplies: Refrigerate/Ambient Shipping Box, 5 lb (T329) Specimen Type: Amniotic fluid Container/Tube: Amniotic fluid container Specimen Volume: 20-25 mL Collection Instructions: 1. Optimal timing for specimen collection is during 14 to 18 weeks of gestation, but specimens collected at other weeks of gestation are also accepted. Provide gestational age at the time of amniocentesis. 2. Discard the first 2 mL of amniotic fluid. 3. Place the tubes in a Refrigerate/Ambient Shipping Box, 5 lb (T329). 4. Fill remaining space with packing material. Additional Information: 1. Unavoidably, about 1% to 2% of mailed-in specimens are not viable. 2. Bloody specimens are undesirable. 3. If the specimen does not grow in culture, you will be notified within 7 days of receipt. 4. Results will be reported and also telephoned or faxed, if requested. Supplies: Hank's Solution (T132) Specimen Type: Autopsy Container/Tube: Sterile container with sterile Hank's solution (T132), Ringer's solution, or normal saline Specimen Volume: 1 cm(3) biopsy specimen of muscle/fascia from the thigh Collection Instructions: 1. Wash biopsy site with an antiseptic soap. 2. Thoroughly rinse area with sterile water. 3. Do not use alcohol or iodine preparations. 4. Biopsy specimens are best taken by punch biopsy to include full thickness of dermis. Specimen Type: Blood Container/Tube: Green top (sodium heparin) Specimen Volume: 5 mL Collection Instructions: 1. Invert several times to mix blood. 2. Other anticoagulants are not recommended and are harmful to the viability of the cells. Supplies: CVS Media (RPMI) and Small Dish (T095) Specimen Type: Chorionic villi Container/Tube: 15-mL tube containing 15 mL of transport media Specimen Volume: 20-25 mg Collection Instructions: 1. Collect specimen by the transabdominal or transcervical method. 2. Transfer chorionic villi to a Petri dish containing transport medium (Such as CVS Media (RPMI) and Small Dish [T095]). 3. Using a stereomicroscope and sterile forceps, assess the quality and quantity of the villi and remove any blood clots and maternal decidua. Specimen Type: Fixed cell pellet Container/Tube: Sterile container with a 3:1 fixative (methanol:glacial acetic acid) Specimen Volume: Entire specimen Supplies: Hank's Solution (T132) Specimen Type: Products of conception or stillbirth Container/Tube: Sterile container with sterile Hank's solution (T132), Ringer's solution, sterile RPMI transport media, or normal saline Specimen Volume: 1 cm(3) of placenta (including 20 mg of chorionic villi) and a 1-cm(3) biopsy specimen of muscle/fascia from the thigh Collection Instructions If a fetus cannot be specifically identified, collect villus material or tissue that appears to be of fetal origin. Additional Information: Do not send entire fetus. Supplies: Hank's Solution (T132) Specimen Type: Skin biopsy Container/Tube: Sterile container with sterile Hank's solution (T132), Ringer's solution, or normal saline Specimen Volume: 1-cm(3) biopsy specimen of muscle/fascia from the thigh Collection Instructions: 1. Wash biopsy site with an antiseptic soap. 2. Thoroughly rinse area with sterile water. 3. Do not use alcohol or iodine preparations. 4. A local anesthetic may be used. 5. Biopsy specimens are best taken by punch biopsy to include full thickness of dermis. "," Amniotic Fluid: 5 mL; Autopsy, Skin Biopsy: 4 mm; Blood: 2 mL; Chorionic Villi: 5 mg; Fixed Cell Pellet: 1 pellet; Products of Conception: 1 cm(3) ",  Serum,  Frozen,  14days,  ," 88271 x 2, 88291-DNA probe, each (first probe set), Interpretation and"
report;,each;,"88271 x 2-DNA probe, each; each additional probe set (if appropriate); 88271 x 1-DNA probe,", Container/Tube: Preferred: Serum gel Acceptable: Red top Specimen Volume: 0.5 mL , 0.25 mL ,  Varies  ,  Ambient(preferred) Frozen Refrigerated,    ,    , 82306
2425D,63416,"25-Hydroxyvitamin D:24,25-Dihydroxyvitamin D Ratio, Serum", Container/Tube: Preferred: Red top Specimen Volume: 3 mL Collection Instructions: Spin down within 2 hours of draw. , 1.1 mL ,  Varies ,  Refrigerated(preferred) Ambient,   ,   , 82306; 82542; 
HMGCR,607414,3-Hydroxy-3-Methylglutaryl Coenzyme-A (HMG-CoA), Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 2 mL , 1 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  14days 30days 7days,    , 82397
3MT,65157,"3-Methoxytyramine, 24 Hour, Urine"," Patient Preparation: Tricyclic antidepressants, labetalol, and sotalol medications may elevate levels of catecholamines producing results that cannot be interpreted. If clinically feasible, it is optimal to discontinue these medications at least 1 week before collection. Levodopa (Sinemet) medication will cause false-positive results. For advice on assessing the risk of removing patients from these medications and alternatives, consider consultation with a specialist in endocrinology or hypertension. Supplies: Urine Tubes, 10 mL (T068) Submission Container/Tube: Plastic urine tube Specimen Volume: 10 mL Collection Instructions: 1. Complete 24-hour urine collections are preferred, especially for patients with episodic hypertension; ideally the collection should begin at the onset of a ""spell."" 2. Collect urine for 24 hours. 3. Add 10 g (pediatric: 3 g) of boric acid or 25 mL (pediatric: 15 mL) of 50% acetic acid as preservative at start of collection. Additional Information: See Urine Preservatives-Collection and Transportation for 24-Hour Urine Specimens in Special Instructions for multiple collections. ", 2 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  14days 30days 7days,    , 82542
3MGAP,608034,"3-Methylglutaconic Aciduria Panel, Varies", Patient Preparation: A previous bone marrow transplant from an allogenic donor will interfere with testing. Call 800-533-1710 for instructions for testing patients who have received a bone marrow transplant. Specimen Type: Whole blood Container/Tube: Preferred: Lavender top (EDTA) or yellow top (ACD) Acceptable: Any anticoagulant Specimen Volume: 3 mL Collection Instructions: 1. Invert several times to mix blood. 2. Send specimen in original tube. Specimen Stability Information: Ambient (preferred)/Refrigerated , See Specimen Required ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  28days 28days 72hours,    , 81443
F5NUL,57285,5'Nucleotidase," Specimen Type: Serum Container/Tube: SST or Red Specimen Volume: 1 mL Collection Instructions: Draw blood in a serum gel tube(s), plain red-top tube(s) is acceptable. Spin down and send 1 mL of serum refrigerate in a plastic vial.  ", 0.5 mL ,  Urine  ,  Refrigerated(preferred) Frozen Ambient,  28days 90days 28days,    , 83915
FLUC,82741,"5-Flucytosine, Serum", Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 0.5 mL Collection Instructions: 1. Serum for a peak level should be drawn 1 to 2 hours after oral dose or 30 minutes after intravenous infusion. Trough specimens should be drawn immediately prior to next scheduled dose. 2. Spin down within 2 hours of draw. , 0.3 mL ,  Varies,  Varies,  ,  , 80299
FHIAA,75515,"5-HIAA (5-Hydroxyindoleacetic acid), Plasma", Patient preparation: Patient should fast overnight prior to collection of specimen. Specimen Type: Plasma Container/Tube: Z tube Specimen Volume: 3 mL Collection Instructions: Draw 10 mL of blood in special Z-tube (MCL T701). Separate plasma from cells immediately after draw and send 3 mL of plasma frozen in plastic vial. , 1 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  7days 14days 4hours,    , 83497
F5HAR,57333,"5-Hydroxyindoleacetic Acid (5-HIAA), Random Urine with"," 10 mL random urine, after collection add 6N HCL to maintain a pH below 3. Submit in a sterile screw capped container shipped ambient. Note: 1. Urine without preservative is acceptable if pH is below 6 and shipped frozen. 2. Dietary Instructions: - Patient should avoid food high in indoles: avocado, banana, tomato, plum, walnut, pineapple, and eggplant. - Patient should also avoid tobacco, tea and coffee three days prior to specimen collection. ", 5 mL ,  Serum  ,  Refrigerated(preferred) Ambient Frozen,  28days 28days 28days,    ," 82570/other source; 83497/Hydroxyindoleacetic acid, 5-(HIAA); "
HIAA,9248,"5-Hydroxyindoleacetic Acid, 24 Hour, Urine"," Patient Preparation: 1. Some medications could interfere with test results. The ordering provider should decide if any medications should be stopped and when they should be restarted. If clinically feasible, discontinue the following medications at least 48 hours prior to, as well as during, specimen collection: -Acetaminophen (Tylenol or generic versions) -Aspirin -Antihistamines -Cough syrups -Cold and flu medications 2. For 48 hours prior to, as well as during, the urine collection, the patient should: Limit the following to 1 serving per day: -Fruits -Vegetables -Nuts -Caffeinated beverages or foods Supplies: Urine Tubes, 10 mL (T068) Container/Tube: Plastic, 10 mL urine tube Specimen Volume: 5 mL Collection Instructions: 1. Collect a 24-hour urine specimen. 2. Add 25 mL of 50% acetic acid as preservative at start of collection. Use 15 mL of 50% acetic acid for children <5 years old. Additional Information: See Urine Preservatives-Collection and Transportation for 24-Hour Urine Specimens in Special Instructions for multiple collections. ", 1 mL ,  Plasma,  Frozen,  90days,  , 83497
F5M,57101,5-Methyltetrahydrofolate," Medical Neurogenetics collection kit (T657) required. Each collection kit contains 5 microcentrifuge tubes. COLLECTION PROTOCOL: 1) CSF should be collected from the first drop into the tubes in the numbered order. Fill each tube to the marked line with the required volumes Tube 1: 0.5 mL Tube 2: 1.0 mL Tube 3: 1.0 mL (contains antioxidants necessary to protect the sample integrity) Tube 4: 1.0 mL Tube 5: 1.0 mL - If sample's not blood contaminated, the tubes should be placed on dry ice at bedside - If sample's are blood contaminated, the tubes should immediately be centrifuged (prior to freezing) and the clear CSF transferred to new similarly labeled tubes, then frozen - Store samples at -80 until they can be shipped 2) Complete Medical Neurogenetics, LLC request form. Include test required, sample date and date of birth. Â  3) Label tubes with patient name and ID number, leaving the tube number viewable. 4) Place samples inside a specimen transport bag and the Medical Neurogenetics, LLC request form inside the pouch of the transport bag. 5) Ship samples frozen on dry ice. Transport Temperature:  SpecimenType Temperature Time SpecialContainer CSF Frozen CSFKIT CPT Code Information: 82542",,  Urine  ,  Ambient(preferred) Frozen Refrigerated,  7days 30days 30days,    , 82542
MAMMX,62732,"6-Monoacetylmorphine (6-MAM) Confirmation, Chain of"," Supplies: Chain-of-Custody Meconium Kit (T653) includes the specimen containers, seals, and documentation required. Specimen Volume: 1 g (approximately 1 teaspoon) Collection Instructions: 1. Collect entire random meconium specimen. 2. Send specimen frozen. When refrigerated, a significant percentage of 6-MAM will convert to morphine in less than 24 hours. Additional Information: Specimen that arrives with a broken seal does not meet the chain of custody requirements. ", 0.3 g (approximately 1/4 teaspoon) ,  Urine ,  Refrigerated(preferred) Frozen,  56days 365days,   , 80356; G0480 (if appropriate); 
6MAMM,89659,"6-Monoacetylmorphine (6-MAM), Confirmation, Meconium"," Supplies: Stool container, Small (Random), 4 oz (T288) Container/Tube: Stool container Specimen Volume: 1 g (approximately 1 teaspoon) Collection Instructions: 1. Collect entire random meconium specimen. 2. Send specimen frozen. When refrigerated, a significant percentage of 6-MAM will convert to morphine in less than 24 hours. ", 0.3 g (approximately 1/4 teaspoon) ,  CSF,  Frozen,  ,  CSFKIT, 80356; G0480 (if appropriate); 
6MAMU,89605,"6-Monoacetylmorphine Confirmation, Random, Urine"," Supplies: Urine Tubes, 10 mL (T068) Container Tube: Plastic, 10-mL urine tube Specimen Volume: 10 mL Collection Instructions: 1. Collect a random urine specimen. 2. No preservative. Additional Information: 1. No specimen substitutions. 2. STATS are not accepted for this test. ", 2.1 mL ,  Meconium,  Frozen,  14days,  , 80356; G0480 (if appropriate); 
6MAMX,62708,"6-Monoacetylmorphine, Chain of Custody, Random, Urine"," Supplies: Chain of Custody Kit (T282) Container/Tube: Chain-of-Custody Kit containing the specimen containers, seals, and documentation required. Specimen Volume: 10 mL Collection Instructions: Collect specimen in the container provided, seal, and submit with the associated documentation to satisfy the legal requirements for chain-of-custody testing. ", 2.1 mL ,  Meconium,  Frozen,  14days,  , 80356; G0480 (if appropriate); 
F68KD,91494,68kD (hsp-70)," Draw blood in a plain red-top tube(s), serum gel tube(s) is acceptable. Spin down and send 3 mL of serum frozen in a plastic vial. ", 2.0 mL ,  Urine  ,  Refrigerated(preferred) Frozen Ambient,  14days 14days 72hours,    , 84182
7AC4,607699,"7AC4, Bile Acid Synthesis, Serum", Patient Preparation: 1. Patient must be fasting for at least 12 hours; fasting morning specimen is preferred. 2. Patient should not be taking bile acid sequestrants or statins. Collection Container/Tube: Preferred: Serum gel Acceptable: Red top Submission Container/Tube: Plastic vial Specimen Volume: 1 mL Collection Instructions: 1. Centrifuge and aliquot 1 mL of serum into plastic vial. 2. Send specimen frozen. , 0.5 mL ,  Urine  ,  Refrigerated(preferred) Frozen Ambient,  14days 14days 72hours,    , 82542
A1R,113437,"A1 Antigen Subtype, Whole Blood", Container/Tube: Pink top (EDTA) Submission Container/Tube: Original tube Collection Instructions: Send specimen in original tube. , Pediatric: 2 mL blood in 6 mL EDTA tube ,  Serum  ,  Frozen(preferred) Refrigerated Ambient,  365days 5days 48hours,    , 86905
_G111,63686,Abnormal Transferrin CDG Panel (Bill Only), This test is for billing purposes only. This is not an orderable test. CPT Code Information: 81443; ; ,,  Serum  ,  Frozen(preferred) Refrigerated Ambient,  90days 72hours 24hours,    , 81443; ; 
ABONR,113498,"ABO/Rh Newborn, RBC", Container/Tube: EDTA Micro tube Specimen Volume: 0.5 mL , See Specimen Required ,  WholeBloodEDTA ,  Refrigerated(preferred) Ambient,  7days 72hours,   , 86900-ABO Typing; 86901-Rh Typing; 
ABOMR,113490,"ABORh, RBC", Container/Tube: Pink top (EDTA) Specimen Volume: 6 mL , 3 mL ,  WholeBloodEDTA ,  Refrigerated(preferred) Ambient,  10days 4days,   , 86900-ABO; 86901-Rh; 
ACAC,82757,"Acacia, IgE, Serum", Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 0.5 mL for every 5 allergens requested , For 1 allergen: 0.3 mL For more than 1 allergen: (0.05 mL x number of allergens) + 0.25 mL deadspace ,  WholeBloodEDTA ,  Refrigerated(preferred) Ambient,  10days 4days,   , 86003
ACARP,64717,"Acanthamoeba species Molecular Detection, PCR, Ocular"," The preferred specimen for this test is corneal scraping or biopsy. Submit only 1 of the following specimens: Specimen Type: Tissue, fresh Sources: Ocular Container/Tube: Sterile container Specimen Volume: 5-10 mm Collection Instructions: Submit tissue in a sterile container with 1 mL of sterile saline, minimal essential media (MEM), or viral transport media. Preferred Paraffin-embedded tissue block: Supplies: Tissue Block Container (T553) Specimen Type: Formalin-fixed, paraffin-embedded tissue block (FFPE) Sources: Ocular Container/Tube: Tissue block Collection Instructions: Submit a FFPE tissue block to be cut and returned. Acceptable Paraffin-embedded tissue block: Specimen Type: Formalin-fixed, paraffin-embedded tissue block (FFPE) Sources: Ocular Container/Tube: Sterile container for each individual cut section (scroll). Collection Instructions: Perform microtomy and prepare five separate 10-micron sections. Each section (scroll) must be placed in a separate sterile container for submission. Specimen Type: Scrapings, swabs Sources: Eye, ocular, cornea Container/Tube: Sterile container Specimen Volume: 1 mL Collection Instructions: 1. Collect corneal scrapings using a scalpel or other sharp device to remove the outer layer of cells from the eye. 2. Swish the collection device in 1 mL of sterile saline, minimal essential media (MEM), or viral transport media. 3. Remove the collection device from the collection container before submitting to the lab. 4. Specimens containing scalpel blades will be canceled. Additional Information: Swabs are not the preferred specimen for this test and may yield false-negative results. Specimens collected using wooden shafted swabs and calcium alginate-tipped swabs will be canceled. Specimen Type: Contact lenses Container/Tube: Sterile container Specimen Volume: Entire collection Collection Instructions: 1. Place entire contact lens in a sterile container with 1 mL sterile saline, contact lens solution, viral transport media, or minimal essential media (MEM). 2. Right and Left lenses must be submitted individually using multiple sterile containers or in the original contact lens case. Multiple orders must be created. 3. Indicate Right or Left in the specimen source. Specimen Type: Contact lens solution Container/Tube: Sterile container Specimen Volume: 1 mL solution Specimen Type: Contact lens cases without lenses Container/Tube: Sterile container Specimen Volume: 1 mL solution or entire case Additional Information: 1. Depending on the type of case submitted, it may be necessary to test right and left chambers individually. Multiple orders must be created. 2. Indicate Right or Left in the specimen source. ", Tissue: 5 mm biopsy Scrapings: 0.5 mL Contact Lens Solution: 1 mL ,  Serum ,  Refrigerated(preferred) Frozen,  14days 90days,   , 87798
ACAR,82850,"Acarus siro, IgE, Serum", Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 0.5 mL for every 5 allergens requested , For 1 allergen: 0.3 mL For more than 1 allergen: (0.05 mL x number of allergens) + 0.25 mL deadspace ,  Varies ,  Refrigerated(preferred) Frozen,  7days 7days,   , 86003
FACET,57707,"Acetaminophen (Tylenol, Datril), Urine", Collect 10 mL random urine without preservatives. Ship refrigerated in a plastic container.  , 0.25 mL ,  Serum ,  Refrigerated(preferred) Frozen,  14days 90days,   , 80143 
ACMA,37030,"Acetaminophen, Serum", Container/Tube: Preferred: Serum gel Acceptable: Red top Specimen Volume: 0.5 mL Collection Instructions: 1. Serum gel tubes should be centrifuged within 2 hours of collection. 2. Red-top tubes should be centrifuged and aliquoted within 2 hours of collection. , 0.25 mL ,  Urine  ,  Refrigerated(preferred) Frozen Ambient,  14days 365days 72hours,    , 80143
FACES,75388,"Acetoacetate, Serum"," Specimen Type: Serum Container/Tube: Red Specimen Volume: 3 mL Draw blood in a plain, red-top tube(s). Serum gel tube is not acceptable. Spin down and send 3 mL of serum frozen in a plastic, preservative-free vial.  ", 1.2 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  7days 180days 24hours,    , 82010
ARBI,8338,"Acetylcholine Receptor (Muscle AChR) Binding Antibody,"," Supplies: Aliquot Tube, 5 mL (T465) Container/Tube: Preferred: Red top Acceptable: Serum gel Submission Container/Tube: Plastic vial Specimen Volume: 1.5 mL ", 1 mL ,  SerumRed ,  Frozen(preferred) Refrigerated,  4days 4days,   , 83519
ACMFS,610029,"Acetylcholine Receptor Modulating Antibody, Flow Cytometry"," Only orderable as part of a profile. For more information see: MGLE / Myasthenia Gravis (MG)/Lambert-Eaton Myasthenic Syndrome (LEMS) Evaluation, Serum MGMR / Myasthenia Gravis Evaluation with MuSK Reflex, Serum PAVAL / Paraneoplastic, Autoantibody Evaluation, Serum Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 1 mL ", 0.5 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  28days 28days 72hours,    , 86255
ACHE_,9287,"Acetylcholinesterase, Amniotic Fluid", Container/Tube: Amniotic fluid container Specimen Volume: 1 mL Collection Instructions: A specimen from the 14 to 18 week gestational period of pregnancy is preferred. Amniotic fluid from the 14 to 21 week gestational period is acceptable. , 0.3 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  28days 28days 72hours,    , 82013
ACHS,8522,"Acetylcholinesterase, Erythrocytes", Container/Tube: Lavender top (EDTA) Specimen Volume: 4 mL , 2.5 mL ,  AmnioticFld  ,  Refrigerated(preferred) Frozen Ambient,  365days 365days 14days,    , 82482
